age;job;marital;education;default;housing;loan;poutcome
43;technician;married;secondary;no;yes;no;unknown
41;blue-collar;married;primary;no;yes;no;unknown
33;management;married;tertiary;no;yes;yes;unknown
32;admin.;married;secondary;no;yes;no;unknown
35;blue-collar;married;secondary;no;yes;no;unknown
39;technician;single;secondary;no;yes;no;unknown
45;admin.;married;secondary;no;yes;no;unknown
39;blue-collar;married;primary;no;yes;no;unknown
41;admin.;single;secondary;no;yes;no;unknown
52;blue-collar;married;secondary;no;yes;no;unknown
46;admin.;single;secondary;no;yes;no;unknown
35;blue-collar;single;secondary;no;yes;yes;unknown
36;admin.;married;tertiary;no;yes;no;unknown
35;admin.;divorced;secondary;no;yes;no;unknown
53;management;divorced;tertiary;no;yes;no;unknown
52;management;single;tertiary;no;yes;no;unknown
41;services;married;secondary;no;yes;no;unknown
56;management;married;secondary;no;yes;no;unknown
37;blue-collar;married;secondary;no;yes;yes;unknown
35;management;married;secondary;no;yes;no;unknown
33;blue-collar;single;primary;no;yes;no;unknown
39;management;married;tertiary;no;yes;no;unknown
40;blue-collar;married;secondary;no;yes;yes;unknown
53;services;married;secondary;no;yes;no;unknown
34;admin.;married;secondary;no;yes;no;unknown
35;management;married;secondary;no;yes;no;unknown
46;unemployed;married;secondary;no;yes;no;unknown
42;management;married;tertiary;no;yes;no;unknown
42;management;married;tertiary;no;yes;no;unknown
41;blue-collar;married;secondary;no;no;no;unknown
27;management;single;tertiary;no;yes;no;unknown
49;management;married;secondary;no;yes;no;unknown
35;admin.;divorced;secondary;no;yes;no;unknown
45;blue-collar;married;secondary;no;yes;no;unknown
49;entrepreneur;married;primary;no;yes;no;unknown
36;technician;married;primary;no;yes;no;unknown
40;admin.;married;secondary;no;yes;no;unknown
33;student;single;tertiary;no;yes;no;unknown
48;blue-collar;married;primary;no;yes;no;unknown
60;technician;divorced;tertiary;no;yes;no;unknown
39;blue-collar;single;secondary;no;yes;no;unknown
36;management;married;tertiary;no;yes;yes;unknown
38;technician;divorced;secondary;no;yes;no;unknown
50;technician;married;unknown;no;yes;yes;unknown
30;admin.;married;secondary;no;yes;no;unknown
39;blue-collar;married;secondary;no;no;no;unknown
43;admin.;divorced;secondary;no;yes;yes;unknown
40;services;married;secondary;no;yes;no;unknown
27;services;single;secondary;no;yes;no;unknown
44;management;married;tertiary;no;yes;no;unknown
32;blue-collar;single;secondary;no;yes;yes;unknown
42;blue-collar;married;unknown;no;yes;no;unknown
55;management;married;tertiary;no;yes;yes;unknown
45;blue-collar;married;primary;no;yes;no;unknown
51;management;divorced;secondary;no;yes;no;unknown
37;management;married;tertiary;no;yes;no;unknown
48;technician;married;secondary;no;yes;no;unknown
34;management;divorced;tertiary;no;yes;no;unknown
33;technician;married;tertiary;no;yes;no;unknown
30;admin.;married;secondary;no;yes;no;unknown
39;technician;married;secondary;no;no;no;unknown
33;blue-collar;single;unknown;no;yes;no;unknown
24;student;single;secondary;no;yes;no;unknown
41;unknown;single;secondary;no;yes;no;unknown
35;admin.;divorced;secondary;no;yes;no;unknown
28;technician;married;secondary;no;yes;no;unknown
38;blue-collar;married;primary;no;yes;no;unknown
50;management;divorced;tertiary;no;yes;yes;unknown
56;technician;married;primary;no;yes;no;unknown
34;management;married;tertiary;no;yes;no;unknown
41;entrepreneur;married;tertiary;no;yes;yes;unknown
34;admin.;single;secondary;no;no;yes;unknown
51;blue-collar;married;primary;no;yes;no;unknown
49;management;married;tertiary;no;yes;no;unknown
30;blue-collar;married;primary;no;yes;no;unknown
45;blue-collar;divorced;primary;no;yes;no;unknown
38;technician;married;secondary;no;yes;no;unknown
50;management;married;tertiary;no;yes;no;unknown
31;technician;married;secondary;no;yes;no;unknown
41;blue-collar;married;primary;no;yes;no;unknown
35;management;single;tertiary;no;yes;no;unknown
50;admin.;married;primary;no;no;no;unknown
29;student;single;secondary;no;yes;no;unknown
46;blue-collar;married;primary;no;yes;no;unknown
42;entrepreneur;married;secondary;no;yes;yes;unknown
43;blue-collar;single;secondary;no;no;no;unknown
30;management;married;tertiary;no;yes;no;unknown
38;blue-collar;married;primary;no;yes;no;unknown
35;management;married;tertiary;no;yes;no;unknown
45;management;married;tertiary;no;yes;no;unknown
41;housemaid;divorced;tertiary;no;yes;no;unknown
52;technician;married;secondary;no;yes;no;unknown
38;services;divorced;primary;no;yes;yes;unknown
40;housemaid;married;tertiary;no;yes;no;unknown
31;blue-collar;married;primary;no;yes;no;unknown
42;technician;married;secondary;no;yes;no;unknown
36;services;married;secondary;no;no;no;unknown
36;management;single;tertiary;no;yes;no;unknown
33;technician;married;secondary;no;yes;no;unknown
39;blue-collar;divorced;secondary;no;yes;no;unknown
37;management;married;tertiary;no;yes;no;unknown
49;blue-collar;married;secondary;no;yes;no;unknown
37;technician;married;tertiary;no;yes;no;unknown
38;blue-collar;married;unknown;no;yes;no;unknown
33;blue-collar;married;primary;no;yes;no;unknown
35;blue-collar;married;secondary;no;yes;no;unknown
45;admin.;married;secondary;no;yes;yes;unknown
32;management;single;tertiary;no;yes;yes;unknown
55;retired;married;secondary;no;yes;yes;unknown
43;management;married;tertiary;yes;yes;no;unknown
40;blue-collar;married;secondary;no;yes;no;unknown
34;technician;married;secondary;no;yes;no;unknown
55;retired;divorced;primary;no;yes;no;unknown
58;blue-collar;married;primary;no;no;no;unknown
37;admin.;married;secondary;no;yes;no;unknown
45;blue-collar;married;secondary;no;yes;no;unknown
28;services;single;secondary;no;yes;no;unknown
25;blue-collar;single;secondary;no;yes;no;unknown
39;management;single;secondary;no;yes;no;unknown
46;blue-collar;married;primary;no;no;yes;unknown
39;admin.;married;secondary;yes;no;no;unknown
31;student;single;tertiary;no;yes;no;unknown
47;admin.;married;secondary;no;yes;no;unknown
54;blue-collar;divorced;secondary;no;yes;yes;unknown
29;blue-collar;single;secondary;no;yes;no;unknown
38;blue-collar;single;secondary;no;yes;no;unknown
29;technician;single;secondary;no;yes;no;unknown
31;management;single;tertiary;no;yes;yes;unknown
36;management;single;tertiary;no;yes;no;unknown
34;technician;divorced;secondary;no;yes;no;unknown
54;management;married;tertiary;no;yes;no;unknown
56;blue-collar;married;primary;no;yes;no;unknown
31;management;single;tertiary;no;yes;no;unknown
28;management;single;tertiary;no;yes;no;unknown
58;management;married;tertiary;no;yes;no;unknown
45;admin.;married;secondary;no;yes;no;unknown
37;admin.;single;secondary;no;yes;no;unknown
47;blue-collar;married;secondary;no;yes;no;unknown
47;blue-collar;married;secondary;no;yes;no;unknown
41;blue-collar;married;secondary;no;yes;no;unknown
52;unemployed;married;secondary;no;yes;no;unknown
42;technician;married;secondary;no;no;no;unknown
48;admin.;married;tertiary;no;yes;no;unknown
32;technician;divorced;secondary;no;yes;yes;unknown
31;admin.;single;secondary;no;yes;yes;unknown
59;technician;married;primary;no;yes;no;unknown
45;housemaid;married;secondary;no;yes;no;unknown
38;blue-collar;married;primary;no;yes;no;unknown
56;services;married;secondary;no;yes;no;unknown
37;blue-collar;married;primary;no;yes;no;unknown
29;management;married;tertiary;no;yes;no;unknown
40;blue-collar;divorced;unknown;no;yes;no;unknown
59;retired;married;secondary;no;yes;no;unknown
29;blue-collar;single;secondary;no;yes;no;unknown
25;unemployed;married;secondary;no;yes;no;unknown
51;blue-collar;married;primary;no;yes;no;unknown
38;management;divorced;tertiary;no;yes;no;unknown
42;blue-collar;married;secondary;no;yes;yes;unknown
32;blue-collar;married;secondary;no;yes;no;unknown
31;services;single;secondary;no;yes;no;unknown
34;blue-collar;married;primary;no;yes;no;unknown
43;technician;married;secondary;no;yes;yes;unknown
42;admin.;single;primary;no;yes;no;unknown
30;blue-collar;married;secondary;no;yes;no;unknown
53;blue-collar;married;primary;no;yes;no;unknown
48;blue-collar;married;unknown;no;yes;no;unknown
32;management;single;tertiary;no;no;no;unknown
29;blue-collar;single;secondary;no;yes;no;unknown
27;technician;single;secondary;no;yes;no;unknown
39;blue-collar;married;primary;no;no;no;unknown
40;blue-collar;married;secondary;no;yes;no;unknown
40;management;married;secondary;no;yes;yes;unknown
46;blue-collar;married;secondary;no;yes;no;unknown
34;services;married;secondary;no;yes;yes;unknown
58;technician;married;secondary;no;yes;no;unknown
49;blue-collar;married;primary;no;yes;no;unknown
30;blue-collar;married;secondary;no;yes;no;unknown
44;blue-collar;single;primary;no;yes;no;unknown
53;blue-collar;married;secondary;no;yes;no;unknown
30;services;divorced;secondary;no;yes;no;unknown
30;blue-collar;single;secondary;no;yes;no;unknown
37;management;married;tertiary;no;yes;no;unknown
39;blue-collar;married;secondary;no;yes;no;unknown
27;admin.;single;secondary;no;yes;yes;unknown
46;technician;married;secondary;no;yes;yes;unknown
32;blue-collar;married;secondary;no;no;no;unknown
47;services;married;secondary;no;yes;no;unknown
56;technician;single;secondary;no;yes;no;unknown
35;blue-collar;single;secondary;no;no;no;unknown
58;self-employed;married;tertiary;no;no;no;unknown
30;blue-collar;single;secondary;no;yes;no;unknown
40;blue-collar;married;secondary;no;yes;no;unknown
34;blue-collar;married;primary;no;yes;no;unknown
52;blue-collar;married;primary;no;yes;no;unknown
28;services;married;secondary;no;yes;no;unknown
44;services;divorced;secondary;no;yes;yes;unknown
38;management;single;tertiary;no;yes;no;unknown
30;services;single;tertiary;no;yes;no;unknown
36;blue-collar;married;primary;yes;yes;no;unknown
31;blue-collar;single;primary;no;yes;no;unknown
42;blue-collar;married;primary;no;yes;no;unknown
51;management;single;tertiary;no;yes;no;unknown
44;blue-collar;married;secondary;no;yes;no;unknown
58;blue-collar;married;secondary;no;yes;no;unknown
32;management;single;tertiary;no;yes;yes;unknown
44;blue-collar;married;secondary;no;yes;no;unknown
25;blue-collar;married;primary;no;yes;no;unknown
46;entrepreneur;married;primary;no;yes;no;unknown
54;blue-collar;married;unknown;no;yes;no;unknown
46;management;married;tertiary;no;yes;no;unknown
45;services;married;secondary;no;yes;no;unknown
20;student;single;tertiary;no;yes;no;unknown
26;services;divorced;secondary;no;yes;yes;unknown
36;technician;married;secondary;no;yes;no;unknown
44;technician;married;secondary;no;yes;no;unknown
40;blue-collar;married;primary;no;yes;no;unknown
43;blue-collar;married;unknown;yes;yes;no;unknown
44;blue-collar;married;secondary;no;yes;no;unknown
46;blue-collar;married;primary;no;yes;no;unknown
49;admin.;married;secondary;no;yes;no;unknown
24;student;single;secondary;no;yes;no;unknown
33;blue-collar;married;primary;no;yes;no;unknown
33;services;married;secondary;no;yes;no;unknown
46;entrepreneur;married;primary;no;yes;no;unknown
36;blue-collar;married;secondary;no;yes;no;unknown
44;management;married;tertiary;no;yes;no;unknown
36;management;married;secondary;no;yes;yes;unknown
40;services;divorced;secondary;no;yes;no;unknown
37;blue-collar;married;primary;no;yes;no;unknown
37;self-employed;divorced;tertiary;no;yes;no;unknown
50;technician;married;tertiary;no;yes;no;unknown
40;blue-collar;divorced;primary;no;yes;yes;unknown
38;blue-collar;married;primary;no;yes;no;unknown
55;blue-collar;married;secondary;no;yes;no;unknown
37;technician;married;secondary;no;yes;no;unknown
52;management;married;secondary;no;yes;no;unknown
60;self-employed;married;primary;no;yes;no;unknown
38;housemaid;married;tertiary;no;yes;no;unknown
33;management;single;tertiary;no;yes;no;unknown
36;management;single;tertiary;no;yes;no;unknown
37;technician;single;secondary;no;yes;no;unknown
26;services;single;secondary;yes;yes;yes;unknown
38;entrepreneur;single;secondary;no;yes;yes;unknown
50;entrepreneur;married;primary;no;yes;yes;unknown
33;blue-collar;married;secondary;no;yes;no;unknown
44;unemployed;divorced;primary;no;no;no;unknown
27;blue-collar;married;unknown;no;yes;no;unknown
37;technician;single;secondary;no;yes;no;unknown
25;student;single;secondary;no;no;no;unknown
34;blue-collar;single;secondary;no;yes;no;unknown
44;services;single;secondary;no;yes;no;unknown
40;technician;single;secondary;no;yes;no;unknown
43;admin.;married;secondary;no;yes;yes;unknown
35;services;married;secondary;no;no;no;unknown
55;management;divorced;primary;no;yes;no;unknown
42;management;married;tertiary;no;yes;no;unknown
55;admin.;single;secondary;no;yes;no;unknown
30;blue-collar;single;secondary;no;yes;no;unknown
53;management;married;tertiary;no;no;no;unknown
50;management;married;tertiary;no;yes;no;unknown
55;technician;divorced;tertiary;no;yes;no;unknown
35;blue-collar;single;primary;no;yes;no;unknown
58;retired;married;secondary;no;yes;no;unknown
56;services;divorced;unknown;no;yes;no;unknown
42;blue-collar;divorced;secondary;no;yes;no;unknown
38;management;divorced;tertiary;no;yes;no;unknown
30;blue-collar;married;primary;no;yes;no;unknown
35;entrepreneur;married;tertiary;no;yes;no;unknown
28;blue-collar;divorced;primary;no;yes;no;unknown
41;self-employed;single;tertiary;no;yes;no;unknown
43;blue-collar;married;secondary;no;yes;no;unknown
51;entrepreneur;married;tertiary;no;yes;no;unknown
45;admin.;married;secondary;no;yes;no;unknown
27;blue-collar;married;primary;no;yes;no;unknown
39;blue-collar;married;primary;no;yes;no;unknown
49;blue-collar;married;primary;no;no;no;unknown
32;services;single;secondary;no;yes;no;unknown
39;self-employed;married;tertiary;no;yes;no;unknown
43;blue-collar;single;primary;no;yes;no;unknown
40;technician;married;secondary;no;yes;yes;unknown
35;blue-collar;divorced;secondary;no;yes;no;unknown
45;blue-collar;married;unknown;no;yes;no;unknown
26;technician;single;tertiary;no;yes;no;unknown
52;management;divorced;tertiary;no;yes;no;unknown
50;technician;married;secondary;no;yes;no;unknown
42;management;married;secondary;no;yes;no;unknown
38;technician;married;secondary;no;yes;no;unknown
35;management;married;tertiary;no;yes;no;unknown
35;management;single;tertiary;no;yes;no;unknown
39;management;married;secondary;no;yes;no;unknown
32;blue-collar;married;secondary;no;yes;no;unknown
40;blue-collar;married;secondary;no;yes;no;unknown
42;unemployed;married;secondary;no;yes;no;unknown
37;services;married;tertiary;no;yes;no;unknown
40;management;married;tertiary;no;yes;no;unknown
46;services;married;secondary;no;yes;yes;unknown
42;services;married;secondary;no;yes;no;unknown
33;blue-collar;single;secondary;no;yes;no;unknown
35;admin.;single;tertiary;no;no;no;unknown
55;blue-collar;married;primary;no;yes;no;unknown
43;blue-collar;married;primary;yes;no;no;unknown
52;technician;married;tertiary;no;yes;yes;unknown
60;blue-collar;married;secondary;no;yes;no;unknown
49;technician;single;secondary;no;yes;no;unknown
58;retired;married;secondary;no;no;no;unknown
29;admin.;married;secondary;no;yes;no;unknown
37;management;married;tertiary;no;yes;no;unknown
36;blue-collar;single;secondary;no;yes;yes;unknown
37;technician;single;secondary;no;yes;no;unknown
45;housemaid;divorced;primary;no;yes;no;unknown
51;admin.;married;secondary;no;yes;no;unknown
40;management;married;tertiary;no;yes;no;unknown
43;blue-collar;married;secondary;no;no;yes;unknown
41;admin.;single;tertiary;no;yes;no;unknown
35;technician;single;secondary;no;yes;no;unknown
54;management;divorced;tertiary;no;yes;no;unknown
36;management;married;tertiary;no;yes;no;unknown
42;management;married;tertiary;no;yes;no;unknown
29;management;married;tertiary;no;yes;no;unknown
45;blue-collar;married;secondary;no;yes;no;unknown
37;management;divorced;tertiary;no;yes;no;unknown
36;services;married;secondary;no;yes;no;unknown
45;blue-collar;married;secondary;no;yes;no;unknown
38;management;married;tertiary;no;yes;no;unknown
50;services;married;secondary;no;yes;no;unknown
38;admin.;divorced;secondary;no;yes;no;unknown
49;admin.;married;secondary;no;no;no;unknown
59;retired;married;secondary;no;no;no;unknown
37;management;divorced;secondary;no;yes;no;unknown
46;management;married;tertiary;no;yes;no;unknown
37;blue-collar;married;secondary;no;yes;no;unknown
35;management;single;tertiary;no;yes;no;unknown
48;admin.;divorced;secondary;no;yes;no;unknown
48;technician;married;secondary;yes;no;no;unknown
28;admin.;married;secondary;no;yes;no;unknown
38;management;single;tertiary;no;yes;no;unknown
34;services;married;secondary;no;yes;no;unknown
37;blue-collar;married;secondary;no;no;yes;unknown
41;admin.;divorced;secondary;no;yes;no;unknown
36;management;single;tertiary;no;yes;no;unknown
42;technician;married;secondary;no;yes;yes;unknown
54;technician;divorced;secondary;no;yes;no;unknown
37;management;single;secondary;no;yes;no;unknown
34;management;married;tertiary;no;yes;no;unknown
32;blue-collar;single;primary;no;yes;no;unknown
31;blue-collar;married;unknown;yes;yes;no;unknown
27;services;single;secondary;no;yes;yes;unknown
33;blue-collar;married;primary;no;yes;no;unknown
57;retired;single;tertiary;no;yes;yes;unknown
29;management;married;tertiary;no;yes;no;unknown
32;services;married;secondary;no;no;no;unknown
51;management;divorced;tertiary;no;no;no;unknown
54;blue-collar;divorced;secondary;no;yes;no;unknown
45;technician;married;secondary;no;yes;no;unknown
35;management;single;tertiary;no;yes;no;unknown
38;admin.;divorced;secondary;no;yes;no;unknown
43;admin.;divorced;tertiary;no;yes;yes;unknown
53;technician;married;secondary;no;yes;no;unknown
36;blue-collar;married;primary;no;yes;yes;unknown
49;admin.;divorced;secondary;no;yes;no;unknown
39;blue-collar;divorced;secondary;no;yes;no;unknown
58;retired;married;primary;no;yes;no;unknown
40;services;married;primary;no;yes;no;unknown
40;management;married;secondary;no;yes;no;unknown
42;unemployed;divorced;secondary;no;yes;no;unknown
44;management;married;tertiary;no;yes;no;unknown
37;services;married;secondary;no;yes;yes;unknown
53;technician;divorced;primary;no;yes;no;unknown
38;technician;married;secondary;no;yes;no;unknown
36;housemaid;married;secondary;no;yes;no;unknown
46;management;divorced;tertiary;no;yes;no;unknown
44;management;divorced;tertiary;no;yes;no;unknown
32;admin.;married;secondary;no;yes;no;unknown
50;blue-collar;married;primary;no;yes;no;unknown
39;technician;single;tertiary;no;no;no;unknown
55;unemployed;single;primary;no;yes;no;unknown
35;blue-collar;married;primary;no;yes;no;unknown
55;management;married;secondary;no;yes;no;unknown
36;blue-collar;married;primary;no;yes;no;unknown
32;management;married;tertiary;no;yes;no;unknown
50;technician;married;secondary;no;no;no;unknown
50;management;married;tertiary;no;yes;no;unknown
40;management;single;tertiary;no;yes;yes;unknown
52;blue-collar;married;primary;no;yes;no;unknown
40;admin.;divorced;secondary;no;yes;no;unknown
55;services;married;unknown;no;yes;no;unknown
59;retired;married;secondary;no;yes;no;unknown
51;technician;married;secondary;no;yes;no;unknown
51;management;married;secondary;no;no;no;unknown
36;unemployed;single;tertiary;no;yes;no;unknown
40;admin.;married;secondary;no;yes;no;unknown
37;self-employed;divorced;tertiary;no;no;no;unknown
51;blue-collar;married;secondary;no;yes;no;unknown
58;self-employed;married;secondary;no;yes;no;unknown
39;technician;married;tertiary;no;yes;no;unknown
26;blue-collar;single;secondary;no;yes;no;unknown
41;blue-collar;married;secondary;no;yes;yes;unknown
49;technician;married;primary;no;yes;no;unknown
41;entrepreneur;married;primary;no;yes;no;unknown
41;blue-collar;married;secondary;no;yes;no;unknown
34;technician;married;secondary;no;yes;no;unknown
49;technician;married;secondary;no;yes;no;unknown
45;admin.;married;secondary;no;yes;no;unknown
41;services;married;secondary;no;yes;no;unknown
53;management;married;tertiary;no;yes;yes;unknown
42;blue-collar;married;secondary;no;yes;no;unknown
51;management;married;tertiary;no;yes;no;unknown
32;blue-collar;married;secondary;no;yes;no;unknown
47;blue-collar;married;primary;no;yes;no;unknown
41;admin.;married;secondary;no;no;no;unknown
44;technician;single;secondary;no;yes;no;unknown
35;technician;single;tertiary;no;yes;no;unknown
44;admin.;married;secondary;no;no;yes;unknown
42;entrepreneur;married;tertiary;no;yes;yes;unknown
44;blue-collar;single;primary;no;yes;no;unknown
28;blue-collar;single;primary;no;yes;no;unknown
32;blue-collar;married;secondary;no;yes;yes;unknown
44;admin.;married;secondary;no;yes;no;unknown
34;blue-collar;married;primary;no;yes;no;unknown
37;technician;married;secondary;no;yes;no;unknown
60;admin.;married;secondary;no;yes;yes;unknown
45;services;married;secondary;no;yes;no;unknown
27;technician;married;secondary;no;yes;no;unknown
24;admin.;single;secondary;no;yes;yes;unknown
35;technician;divorced;secondary;no;yes;no;unknown
52;admin.;married;primary;no;yes;no;unknown
45;blue-collar;married;secondary;no;yes;yes;unknown
29;services;married;secondary;no;yes;no;unknown
34;technician;divorced;secondary;no;yes;no;unknown
24;technician;single;secondary;no;yes;no;unknown
41;admin.;married;secondary;no;yes;no;unknown
37;management;single;tertiary;no;yes;no;unknown
51;management;divorced;tertiary;no;yes;no;unknown
37;technician;single;secondary;no;yes;no;unknown
51;management;married;tertiary;no;yes;no;unknown
29;self-employed;single;tertiary;no;yes;no;unknown
35;blue-collar;married;secondary;no;yes;no;unknown
44;technician;married;secondary;no;no;no;unknown
27;blue-collar;married;secondary;no;yes;yes;unknown
43;admin.;married;secondary;no;yes;no;unknown
32;services;married;secondary;no;yes;no;unknown
51;housemaid;married;tertiary;no;yes;no;unknown
44;technician;married;secondary;no;yes;no;unknown
45;blue-collar;married;primary;no;yes;no;unknown
45;technician;single;unknown;no;yes;yes;unknown
57;technician;married;secondary;no;yes;yes;unknown
46;technician;married;secondary;no;yes;no;unknown
36;blue-collar;married;secondary;no;yes;no;unknown
49;management;married;tertiary;no;yes;yes;unknown
42;blue-collar;married;primary;no;yes;no;unknown
51;management;married;secondary;no;yes;yes;unknown
35;blue-collar;married;primary;no;yes;no;unknown
49;management;divorced;tertiary;no;yes;no;unknown
47;blue-collar;married;secondary;no;yes;yes;unknown
27;services;single;tertiary;no;yes;no;unknown
43;blue-collar;married;primary;no;no;no;unknown
52;admin.;married;primary;no;yes;no;unknown
32;management;divorced;tertiary;no;yes;no;unknown
29;services;divorced;secondary;no;yes;no;unknown
50;unemployed;married;secondary;no;yes;no;unknown
29;self-employed;single;tertiary;no;no;no;unknown
39;unemployed;single;secondary;no;yes;no;unknown
51;blue-collar;married;secondary;no;yes;no;unknown
35;blue-collar;married;secondary;no;yes;yes;unknown
32;admin.;divorced;tertiary;no;yes;no;unknown
39;management;married;tertiary;no;yes;no;unknown
43;management;single;tertiary;no;yes;no;unknown
38;management;married;tertiary;no;yes;no;unknown
45;management;married;tertiary;no;no;no;unknown
43;admin.;divorced;secondary;no;yes;no;unknown
52;management;married;tertiary;no;yes;yes;unknown
40;admin.;single;secondary;no;yes;no;unknown
35;student;single;secondary;no;yes;no;unknown
44;blue-collar;married;secondary;no;yes;no;unknown
42;admin.;divorced;secondary;no;yes;no;unknown
29;blue-collar;married;primary;no;yes;no;unknown
51;technician;divorced;secondary;no;yes;no;unknown
41;housemaid;married;tertiary;no;yes;no;unknown
54;self-employed;married;secondary;no;yes;no;unknown
42;technician;divorced;secondary;no;yes;yes;unknown
45;services;single;secondary;no;yes;yes;unknown
42;technician;married;secondary;no;yes;no;unknown
53;management;married;tertiary;no;yes;no;unknown
48;technician;married;unknown;no;yes;no;unknown
35;management;single;tertiary;no;yes;no;unknown
32;admin.;divorced;secondary;no;yes;no;unknown
35;management;divorced;tertiary;no;no;no;unknown
46;blue-collar;married;primary;no;yes;no;unknown
48;services;married;secondary;no;yes;no;unknown
31;technician;divorced;secondary;no;yes;no;unknown
28;management;single;tertiary;no;yes;no;unknown
36;technician;single;secondary;no;yes;no;unknown
31;management;single;tertiary;no;yes;no;unknown
49;self-employed;married;secondary;no;yes;yes;unknown
43;management;married;tertiary;no;yes;no;unknown
53;management;married;tertiary;no;yes;no;unknown
35;blue-collar;single;secondary;no;yes;no;unknown
31;technician;divorced;secondary;no;yes;no;unknown
39;technician;married;unknown;no;no;no;unknown
41;services;married;primary;no;yes;no;unknown
56;management;married;tertiary;no;yes;no;unknown
37;technician;married;secondary;no;yes;no;unknown
37;technician;married;secondary;no;yes;no;unknown
31;blue-collar;single;secondary;no;yes;no;unknown
51;retired;married;primary;no;yes;no;unknown
25;management;single;unknown;no;yes;no;unknown
53;services;married;secondary;no;yes;no;unknown
53;blue-collar;divorced;primary;no;yes;no;unknown
45;technician;married;secondary;no;yes;no;unknown
36;management;single;tertiary;no;yes;no;unknown
53;technician;single;secondary;no;yes;yes;unknown
32;admin.;married;secondary;no;yes;no;unknown
41;technician;married;secondary;no;yes;no;unknown
36;unemployed;single;tertiary;no;yes;no;unknown
36;management;single;tertiary;no;yes;yes;unknown
27;services;single;secondary;no;yes;no;unknown
36;admin.;married;secondary;no;yes;yes;unknown
32;technician;single;secondary;no;yes;no;unknown
47;technician;married;primary;no;yes;no;unknown
51;entrepreneur;married;secondary;no;no;no;unknown
38;management;single;tertiary;no;yes;no;unknown
27;blue-collar;married;primary;no;yes;no;unknown
41;management;divorced;secondary;no;yes;no;unknown
49;blue-collar;married;secondary;no;yes;yes;unknown
38;blue-collar;married;primary;no;yes;no;unknown
44;technician;married;secondary;no;yes;no;unknown
36;blue-collar;married;secondary;no;yes;no;unknown
55;technician;married;secondary;no;yes;no;unknown
47;technician;married;secondary;no;yes;no;unknown
48;blue-collar;married;secondary;no;yes;no;unknown
27;technician;single;secondary;no;yes;yes;unknown
43;entrepreneur;married;primary;no;yes;no;unknown
40;management;single;tertiary;no;yes;no;unknown
47;blue-collar;married;unknown;no;yes;no;unknown
44;technician;divorced;secondary;no;yes;no;unknown
26;technician;single;secondary;no;yes;no;unknown
25;blue-collar;single;secondary;no;yes;no;unknown
55;admin.;married;secondary;no;yes;no;unknown
38;management;married;tertiary;no;no;no;unknown
38;services;married;secondary;no;yes;yes;unknown
37;blue-collar;married;primary;no;yes;no;unknown
30;blue-collar;married;secondary;no;yes;no;unknown
44;blue-collar;married;primary;no;yes;no;unknown
35;management;single;tertiary;no;yes;no;unknown
40;blue-collar;married;secondary;no;yes;no;unknown
30;services;married;secondary;yes;yes;no;unknown
23;services;single;tertiary;no;yes;no;unknown
46;management;single;tertiary;no;yes;no;unknown
32;blue-collar;married;secondary;no;yes;no;unknown
38;blue-collar;married;secondary;no;yes;no;unknown
44;technician;married;secondary;no;yes;no;unknown
33;technician;single;secondary;no;yes;no;unknown
46;entrepreneur;married;secondary;no;yes;no;unknown
32;management;single;tertiary;no;yes;no;unknown
58;blue-collar;married;secondary;no;yes;no;unknown
35;blue-collar;married;secondary;no;yes;no;unknown
50;admin.;single;secondary;no;yes;no;unknown
32;blue-collar;single;secondary;no;yes;yes;unknown
40;technician;divorced;secondary;no;yes;no;unknown
30;technician;married;secondary;no;yes;no;unknown
31;management;single;tertiary;yes;yes;no;unknown
57;technician;married;secondary;no;yes;no;unknown
26;management;single;tertiary;no;yes;no;unknown
36;technician;divorced;secondary;no;no;no;unknown
35;blue-collar;married;primary;no;yes;no;unknown
50;self-employed;married;secondary;no;yes;no;unknown
41;admin.;married;secondary;no;yes;yes;unknown
58;management;married;primary;no;yes;no;unknown
55;technician;married;secondary;no;yes;no;unknown
35;technician;single;secondary;no;no;no;unknown
27;services;married;secondary;no;yes;no;unknown
40;admin.;married;secondary;no;yes;no;unknown
31;housemaid;married;secondary;no;yes;no;unknown
37;admin.;single;unknown;no;no;no;unknown
51;retired;divorced;secondary;no;yes;no;unknown
52;blue-collar;married;primary;no;yes;no;unknown
44;admin.;single;secondary;no;yes;no;unknown
27;management;single;tertiary;no;yes;no;unknown
45;entrepreneur;married;secondary;no;yes;no;unknown
54;blue-collar;married;primary;no;yes;no;unknown
23;blue-collar;single;secondary;no;yes;yes;unknown
59;admin.;married;primary;no;yes;no;unknown
41;technician;single;secondary;no;yes;no;unknown
40;management;married;primary;no;yes;no;unknown
36;blue-collar;married;secondary;no;yes;no;unknown
42;technician;single;secondary;no;yes;no;unknown
37;blue-collar;married;primary;no;yes;no;unknown
42;blue-collar;married;secondary;no;yes;no;unknown
40;blue-collar;married;primary;no;yes;no;unknown
42;technician;divorced;secondary;no;yes;no;unknown
32;blue-collar;married;secondary;no;yes;yes;unknown
23;blue-collar;single;secondary;no;yes;no;unknown
31;technician;single;secondary;no;yes;no;unknown
43;services;married;secondary;no;yes;yes;unknown
31;blue-collar;married;primary;no;yes;yes;unknown
29;services;single;secondary;no;yes;no;unknown
51;blue-collar;divorced;secondary;no;yes;no;unknown
25;blue-collar;single;primary;no;yes;no;unknown
39;services;single;secondary;no;yes;no;unknown
